image,Anthocyanin (mg/100g),TPC (mg GAE/g),TFC (mg QE/g),DPPH % Inhibition
Stage1 (1).jpg,136.00,7.29,0.32,18.25
Stage1 (2).jpg,136.20,7.49,0.42,18.45
Stage1 (3).jpg,136.40,7.69,0.52,18.65
Stage1 (4).jpg,136.60,7.89,0.62,18.85
Stage1 (5).jpg,136.80,8.09,0.72,19.05
Stage1 (6).jpg,137.00,8.29,0.82,19.25
Stage1 (7).jpg,137.20,8.49,0.92,19.45
Stage1 (8).jpg,137.40,8.69,1.02,19.65
Stage1 (9).jpg,137.60,8.89,1.12,19.85
Stage1 (10).jpg,137.80,9.09,1.22,20.05
Stage1 (11).jpg,138.00,9.29,1.32,20.25
Stage1 (12).jpg,138.20,9.49,1.42,20.45
Stage1 (13).jpg,138.40,9.69,1.52,20.65
Stage1 (14).jpg,138.60,9.89,1.62,20.85
Stage1 (15).jpg,138.80,10.09,1.72,21.05
Stage1 (16).jpg,139.00,10.29,1.82,21.25
Stage1 (17).jpg,139.20,10.49,1.92,21.45
Stage1 (18).jpg,139.40,10.69,2.02,21.65
Stage1 (19).jpg,139.60,10.89,2.12,21.85
Stage1 (20).jpg,139.80,11.09,2.22,22.05
Stage1 (21).jpg,140.00,11.29,2.32,22.25
Stage1 (22).jpg,140.20,11.49,2.42,22.45
Stage1 (23).jpg,140.40,11.69,2.52,22.65
Stage1 (24).jpg,140.60,11.89,2.62,22.85
Stage1 (25).jpg,136.00,7.29,0.32,18.25
Stage1 (26).jpg,136.20,7.49,0.42,18.45
Stage1 (27).jpg,136.40,7.69,0.52,18.65
Stage1 (28).jpg,136.00,7.29,0.32,18.25
Stage1 (29).jpg,136.20,7.49,0.42,18.45
Stage1 (30).jpg,136.40,7.69,0.52,18.65
Stage1 (31).jpg,136.60,7.89,0.62,18.85
Stage1 (32).jpg,136.80,8.09,0.72,19.05
Stage1 (33).jpg,137.00,8.29,0.82,19.25
Stage1 (34).jpg,137.20,8.49,0.92,19.45
Stage1 (35).jpg,137.40,8.69,1.02,19.65
Stage1 (36).jpg,137.60,8.89,1.12,19.85
Stage1 (37).jpg,137.80,9.09,1.22,20.05
Stage1 (38).jpg,138.00,9.29,1.32,20.25
Stage1 (39).jpg,136.00,7.29,0.32,18.25
Stage1 (40).jpg,136.20,7.49,0.42,18.45
Stage1 (41).jpg,136.40,7.69,0.52,18.65
Stage1 (42).jpg,136.60,7.89,0.62,18.85
Stage1 (43).jpg,136.80,8.09,0.72,19.05
Stage1 (44).jpg,137.00,8.29,0.82,19.25
Stage1 (45).jpg,137.20,8.49,0.92,19.45
Stage1 (46).jpg,137.40,8.69,1.02,19.65
Stage1 (47).jpg,137.60,8.89,1.12,19.85
Stage1 (48).jpg,137.80,9.09,1.22,20.05
Stage1 (49).jpg,138.00,9.29,1.32,20.25
Stage1 (50).jpg,138.20,9.49,1.42,20.45
Stage1 (51).jpg,138.40,9.69,1.52,20.65
Stage1 (52).jpg,140.20,11.49,2.42,22.45
Stage1 (53).jpg,140.40,11.69,2.52,22.65
Stage1 (54).jpg,140.60,11.89,2.62,22.85
Stage1 (55).jpg,136.00,7.29,0.32,18.25
Stage1 (56).jpg,136.20,7.49,0.42,18.45
Stage1 (57).jpg,140.20,11.49,2.42,22.45
Stage1 (58).jpg,140.40,11.69,2.52,22.65
Stage1 (59).jpg,140.60,11.89,2.62,22.85
Stage1 (60).jpg,136.00,7.29,0.32,18.25
Stage1 (61).jpg,136.20,7.49,0.42,18.45
Stage1 (62).jpg,136.40,7.69,0.52,18.65
Stage1 (63).jpg,136.00,7.29,0.32,18.25
Stage1 (64).jpg,136.20,7.49,0.42,18.45
Stage1 (65).jpg,136.40,7.69,0.52,18.65
Stage1 (66).jpg,136.60,7.89,0.62,18.85
Stage1 (67).jpg,136.80,8.09,0.72,19.05
Stage1 (68).jpg,137.00,8.29,0.82,19.25
Stage1 (69).jpg,137.20,8.49,0.92,19.45
Stage1 (70).jpg,137.40,8.69,1.02,19.65
Stage1 (71).jpg,137.60,8.89,1.12,19.85
Stage1 (72).jpg,137.80,9.09,1.22,20.05
Stage1 (73).jpg,138.00,9.29,1.32,20.25
Stage1 (74).jpg,140.20,11.49,2.42,22.45
Stage1 (75).jpg,140.40,11.69,2.52,22.65
Stage1 (76).jpg,140.60,11.89,2.62,22.85
Stage1 (77).jpg,136.00,7.29,0.32,18.25
Stage1 (78).jpg,136.20,7.49,0.42,18.45
Stage1 (79).jpg,136.40,7.69,0.52,18.65
Stage1 (80).jpg,136.00,7.29,0.32,18.25
Stage1 (81).jpg,136.20,7.49,0.42,18.45
Stage1 (82).jpg,136.40,7.69,0.52,18.65
Stage1 (83).jpg,136.60,7.89,0.62,18.85
Stage1 (84).jpg,136.80,8.09,0.72,19.05
Stage1 (85).jpg,137.00,8.29,0.82,19.25
Stage1 (86).jpg,137.20,8.49,0.92,19.45
Stage1 (87).jpg,137.40,8.69,1.02,19.65
Stage1 (88).jpg,137.60,8.89,1.12,19.85
Stage1 (89).jpg,137.80,9.09,1.22,20.05
Stage1 (90).jpg,138.00,9.29,1.32,20.25
Stage1 (91).jpg,136.00,7.29,0.32,18.25
Stage1 (92).jpg,136.20,7.49,0.42,18.45
Stage1 (93).jpg,136.40,7.69,0.52,18.65
Stage1 (94).jpg,136.60,7.89,0.62,18.85
Stage1 (95).jpg,140.20,11.49,2.42,22.45
Stage1 (96).jpg,140.40,11.69,2.52,22.65
Stage1 (97).jpg,140.60,11.89,2.62,22.85
Stage1 (98).jpg,136.00,7.29,0.32,18.25
Stage1 (99).jpg,136.20,7.49,0.42,18.45
Stage1 (100).jpg,136.40,7.69,0.52,18.65
Stage1 (101).jpg,136.00,7.29,0.32,18.25
Stage1 (102).jpg,136.20,7.49,0.42,18.45
Stage1 (103).jpg,136.40,7.69,0.52,18.65
Stage1 (104).jpg,136.60,7.89,0.62,18.85
Stage1 (105).jpg,136.80,8.09,0.72,19.05
Stage1 (106).jpg,137.00,8.29,0.82,19.25
Stage1 (107).jpg,137.20,8.49,0.92,19.45
Stage1 (108).jpg,137.40,8.69,1.02,19.65
Stage1 (109).jpg,137.60,8.89,1.12,19.85
Stage1 (110).jpg,137.80,9.09,1.22,20.05
Stage1 (111).jpg,138.00,9.29,1.32,20.25
Stage1 (112).jpg,136.00,7.29,0.32,18.25
Stage1 (113).jpg,136.20,7.49,0.42,18.45
Stage1 (114).jpg,140.20,11.49,2.42,22.45
Stage1 (115).jpg,140.40,11.69,2.52,22.65
Stage1 (116).jpg,140.60,11.89,2.62,22.85
Stage1 (117).jpg,136.00,7.29,0.32,18.25
Stage1 (118).jpg,136.20,7.49,0.42,18.45
Stage1 (119).jpg,136.40,7.69,0.52,18.65
Stage1 (120).jpg,136.00,7.29,0.32,18.25
Stage1 (121).jpg,136.20,7.49,0.42,18.45
Stage1 (122).jpg,136.40,7.69,0.52,18.65
Stage1 (123).jpg,136.60,7.89,0.62,18.85
Stage1 (124).jpg,136.80,8.09,0.72,19.05
Stage1 (125).jpg,137.00,8.29,0.82,19.25
Stage1 (126).jpg,137.20,8.49,0.92,19.45
Stage1 (127).jpg,137.40,8.69,1.02,19.65
Stage1 (128).jpg,137.60,8.89,1.12,19.85
Stage1 (129).jpg,137.80,9.09,1.22,20.05
Stage1 (130).jpg,138.00,9.29,1.32,20.25
Stage1 (131).jpg,136.00,7.29,0.32,18.25
Stage1 (132).jpg,136.20,7.49,0.42,18.45
Stage1 (133).jpg,136.40,7.69,0.52,18.65
Stage1 (134).jpg,136.60,7.89,0.62,18.85
Stage1 (135).jpg,136.80,8.09,0.72,19.05
Stage1 (136).jpg,137.00,8.29,0.82,19.25
Stage1 (137).jpg,137.20,8.49,0.92,19.45
Stage1 (138).jpg,137.40,8.69,1.02,19.65
Stage1 (139).jpg,137.60,8.89,1.12,19.85
Stage1 (140).jpg,137.80,9.09,1.22,20.05
Stage1 (141).jpg,138.00,9.29,1.32,20.25
Stage1 (142).jpg,137.00,8.29,0.82,19.25
Stage1 (143).jpg,137.20,8.49,0.92,19.45
Stage1 (144).jpg,137.40,8.69,1.02,19.65
Stage1 (145).jpg,137.60,8.89,1.12,19.85
Stage1 (146).jpg,137.80,9.09,1.22,20.05
Stage1 (147).jpg,138.00,9.29,1.32,20.25
Stage1 (148).jpg,136.00,7.29,0.32,18.25
Stage1 (149).jpg,136.20,7.49,0.42,18.45
Stage1 (150).jpg,140.20,11.49,2.42,22.45
Stage1 (151).jpg,140.40,11.69,2.52,22.65
Stage1 (152).jpg,140.60,11.89,2.62,22.85
Stage1 (153).jpg,136.00,7.29,0.32,18.25
Stage1 (154).jpg,136.20,7.49,0.42,18.45
Stage1 (155).jpg,136.40,7.69,0.52,18.65
Stage1 (156).jpg,136.00,7.29,0.32,18.25
Stage1 (157).jpg,136.20,7.49,0.42,18.45
Stage1 (158).jpg,137.00,8.29,0.82,19.25
Stage1 (159).jpg,137.20,8.49,0.92,19.45
Stage1 (160).jpg,137.40,8.69,1.02,19.65
Stage1 (161).jpg,137.60,8.89,1.12,19.85
Stage1 (162).jpg,137.80,9.09,1.22,20.05
Stage1 (163).jpg,138.00,9.29,1.32,20.25
Stage1 (164).jpg,136.00,7.29,0.32,18.25
Stage1 (165).jpg,136.20,7.49,0.42,18.45
Stage1 (166).jpg,140.20,11.49,2.42,22.45
Stage1 (167).jpg,140.40,11.69,2.52,22.65
Stage1 (168).jpg,140.60,11.89,2.62,22.85
Stage1 (169).jpg,136.00,7.29,0.32,18.25
Stage1 (170).jpg,136.20,7.49,0.42,18.45
Stage1 (171).jpg,136.40,7.69,0.52,18.65
Stage1 (172).jpg,136.00,7.29,0.32,18.25
Stage1 (173).jpg,136.20,7.49,0.42,18.45
Stage1 (174).jpg,136.40,7.69,0.52,18.65
Stage1 (175).jpg,137.00,8.29,0.82,19.25
Stage1 (176).jpg,137.20,8.49,0.92,19.45
Stage1 (177).jpg,137.40,8.69,1.02,19.65
Stage1 (178).jpg,137.60,8.89,1.12,19.85
Stage1 (179).jpg,137.80,9.09,1.22,20.05
Stage1 (180).jpg,138.00,9.29,1.32,20.25
Stage1 (181).jpg,136.00,7.29,0.32,18.25
Stage1 (182).jpg,136.20,7.49,0.42,18.45
Stage1 (183).jpg,140.20,11.49,2.42,22.45
Stage1 (184).jpg,140.40,11.69,2.52,22.65
Stage1 (185).jpg,140.60,11.89,2.62,22.85
Stage1 (186).jpg,136.00,7.29,0.32,18.25
Stage1 (187).jpg,136.20,7.49,0.42,18.45
Stage1 (188).jpg,136.40,7.69,0.52,18.65
Stage1 (189).jpg,136.00,7.29,0.32,18.25
Stage1 (190).jpg,136.20,7.49,0.42,18.45
Stage1 (191).jpg,137.00,8.29,0.82,19.25
Stage1 (192).jpg,137.20,8.49,0.92,19.45
Stage1 (193).jpg,137.40,8.69,1.02,19.65
Stage1 (194).jpg,137.60,8.89,1.12,19.85
Stage1 (195).jpg,137.80,9.09,1.22,20.05
Stage1 (196).jpg,138.00,9.29,1.32,20.25
Stage1 (197).jpg,136.00,7.29,0.32,18.25
Stage1 (198).jpg,136.20,7.49,0.42,18.45
Stage1 (199).jpg,140.20,11.49,2.42,22.45
Stage1 (200).jpg,140.40,11.69,2.52,22.65
Stage1 (201).jpg,140.60,11.89,2.62,22.85
Stage1 (202).jpg,136.00,7.29,0.32,18.25
Stage1 (203).jpg,136.20,7.49,0.42,18.45
Stage1 (204).jpg,136.40,7.69,0.52,18.65
Stage1 (205).jpg,136.00,7.29,0.32,18.25
Stage1 (206).jpg,136.20,7.49,0.42,18.45
Stage1 (207).jpg,136.40,7.69,0.52,18.65
Stage1 (208).jpg,136.60,7.89,0.62,18.85
Stage1 (209).jpg,136.80,8.09,0.72,19.05
Stage1 (210).jpg,137.00,8.29,0.82,19.25
Stage1 (211).jpg,137.20,8.49,0.92,19.45
Stage1 (212).jpg,137.00,8.29,0.82,19.25
Stage1 (213).jpg,137.20,8.49,0.92,19.45
Stage1 (214).jpg,137.40,8.69,1.02,19.65
Stage1 (215).jpg,137.60,8.89,1.12,19.85
Stage1 (216).jpg,137.80,9.09,1.22,20.05
Stage1 (217).jpg,138.00,9.29,1.32,20.25
Stage1 (218).jpg,136.00,7.29,0.32,18.25
Stage1 (219).jpg,136.20,7.49,0.42,18.45
Stage1 (220).jpg,140.20,11.49,2.42,22.45
Stage1 (221).jpg,140.40,11.69,2.52,22.65
Stage1 (222).jpg,140.60,11.89,2.62,22.85
Stage1 (223).jpg,136.00,7.29,0.32,18.25
Stage1 (224).jpg,136.20,7.49,0.42,18.45
Stage1 (225).jpg,136.40,7.69,0.52,18.65
Stage1 (226).jpg,136.00,7.29,0.32,18.25
Stage1 (227).jpg,136.20,7.49,0.42,18.45
Stage1 (228).jpg,136.40,7.69,0.52,18.65
Stage1 (229).jpg,137.00,8.29,0.82,19.25
Stage1 (230).jpg,137.20,8.49,0.92,19.45
Stage1 (231).jpg,137.40,8.69,1.02,19.65
Stage1 (232).jpg,137.60,8.89,1.12,19.85
Stage1 (233).jpg,137.80,9.09,1.22,20.05
Stage1 (234).jpg,138.00,9.29,1.32,20.25
Stage1 (235).jpg,136.00,7.29,0.32,18.25
Stage1 (236).jpg,136.20,7.49,0.42,18.45
Stage1 (237).jpg,140.20,11.49,2.42,22.45
Stage1 (238).jpg,140.40,11.69,2.52,22.65
Stage1 (239).jpg,140.60,11.89,2.62,22.85
Stage1 (240).jpg,136.00,7.29,0.32,18.25
Stage1 (241).jpg,136.20,7.49,0.42,18.45
Stage1 (242).jpg,136.40,7.69,0.52,18.65
Stage1 (243).jpg,136.00,7.29,0.32,18.25
Stage1 (244).jpg,136.20,7.49,0.42,18.45
Stage1 (245).jpg,137.00,8.29,0.82,19.25
Stage1 (246).jpg,137.20,8.49,0.92,19.45
Stage1 (247).jpg,137.40,8.69,1.02,19.65
Stage1 (248).jpg,137.60,8.89,1.12,19.85
Stage1 (249).jpg,137.80,9.09,1.22,20.05
Stage1 (250).jpg,138.00,9.29,1.32,20.25
Stage1 (251).jpg,136.00,7.29,0.32,18.25
Stage1 (252).jpg,136.20,7.49,0.42,18.45
Stage1 (253).jpg,140.20,11.49,2.42,22.45
Stage1 (254).jpg,137.00,8.29,0.82,19.25
Stage1 (255).jpg,137.20,8.49,0.92,19.45
Stage1 (256).jpg,137.40,8.69,1.02,19.65
Stage1 (257).jpg,137.60,8.89,1.12,19.85
Stage1 (258).jpg,137.80,9.09,1.22,20.05
Stage1 (259).jpg,138.00,9.29,1.32,20.25
Stage1 (260).jpg,136.00,7.29,0.32,18.25
Stage1 (261).jpg,136.20,7.49,0.42,18.45
Stage1 (262).jpg,140.20,11.49,2.42,22.45
Stage1 (263).jpg,140.40,11.69,2.52,22.65
Stage1 (264).jpg,140.60,11.89,2.62,22.85
Stage1 (265).jpg,136.00,7.29,0.32,18.25
Stage1 (266).jpg,136.20,7.49,0.42,18.45
Stage1 (267).jpg,136.40,7.69,0.52,18.65
Stage1 (268).jpg,136.00,7.29,0.32,18.25
Stage1 (269).jpg,136.20,7.49,0.42,18.45
Stage1 (270).jpg,136.40,7.69,0.52,18.65
Stage1 (271).jpg,137.00,8.29,0.82,19.25
Stage1 (272).jpg,137.20,8.49,0.92,19.45
Stage1 (273).jpg,137.40,8.69,1.02,19.65
Stage1 (274).jpg,137.60,8.89,1.12,19.85
Stage1 (275).jpg,137.80,9.09,1.22,20.05
Stage1 (276).jpg,138.00,9.29,1.32,20.25
Stage1 (277).jpg,136.00,7.29,0.32,18.25
Stage1 (278).jpg,136.20,7.49,0.42,18.45
Stage1 (279).jpg,140.20,11.49,2.42,22.45
Stage1 (280).jpg,140.40,11.69,2.52,22.65
Stage1 (281).jpg,140.60,11.89,2.62,22.85
Stage1 (282).jpg,136.00,7.29,0.32,18.25
Stage1 (283).jpg,136.20,7.49,0.42,18.45
Stage1 (284).jpg,136.40,7.69,0.52,18.65
Stage1 (285).jpg,136.00,7.29,0.32,18.25
Stage1 (286).jpg,136.20,7.49,0.42,18.45
Stage1 (287).jpg,137.00,8.29,0.82,19.25
Stage1 (288).jpg,137.20,8.49,0.92,19.45
Stage1 (289).jpg,137.40,8.69,1.02,19.65
Stage1 (290).jpg,137.60,8.89,1.12,19.85
Stage1 (291).jpg,137.80,9.09,1.22,20.05
Stage1 (292).jpg,138.00,9.29,1.32,20.25
Stage1 (293).jpg,136.00,7.29,0.32,18.25
Stage1 (294).jpg,136.20,7.49,0.42,18.45
Stage1 (295).jpg,140.20,11.49,2.42,22.45
Stage1 (296).jpg,140.40,11.69,2.52,22.65
Stage1 (297).jpg,140.60,11.89,2.62,22.85
Stage1 (298).jpg,136.00,7.29,0.32,18.25
Stage1 (299).jpg,136.20,7.49,0.42,18.45
Stage1 (300).jpg,136.40,7.69,0.52,18.65
Stage1 (301).jpg,136.00,7.29,0.32,18.25
Stage1 (302).jpg,137.00,8.29,0.82,19.25
Stage1 (303).jpg,137.20,8.49,0.92,19.45
Stage1 (304).jpg,137.40,8.69,1.02,19.65
Stage1 (305).jpg,137.60,8.89,1.12,19.85
Stage1 (306).jpg,137.80,9.09,1.22,20.05
Stage1 (307).jpg,138.00,9.29,1.32,20.25
Stage1 (308).jpg,136.00,7.29,0.32,18.25
Stage1 (309).jpg,136.20,7.49,0.42,18.45
Stage1 (310).jpg,140.20,11.49,2.42,22.45
Stage1 (311).jpg,140.40,11.69,2.52,22.65
Stage1 (312).jpg,140.60,11.89,2.62,22.85
Stage1 (313).jpg,136.00,7.29,0.32,18.25
Stage1 (314).jpg,136.20,7.49,0.42,18.45
Stage1 (315).jpg,136.40,7.69,0.52,18.65
Stage1 (316).jpg,136.00,7.29,0.32,18.25
Stage1 (317).jpg,136.20,7.49,0.42,18.45
Stage1 (318).jpg,136.40,7.69,0.52,18.65
Stage1 (319).jpg,137.00,8.29,0.82,19.25
Stage1 (320).jpg,137.20,8.49,0.92,19.45
Stage1 (321).jpg,137.40,8.69,1.02,19.65
Stage1 (322).jpg,137.60,8.89,1.12,19.85
Stage1 (323).jpg,137.80,9.09,1.22,20.05
Stage1 (324).jpg,138.00,9.29,1.32,20.25
Stage1 (325).jpg,136.00,7.29,0.32,18.25
Stage1 (326).jpg,136.20,7.49,0.42,18.45
Stage1 (327).jpg,140.20,11.49,2.42,22.45
Stage1 (328).jpg,140.40,11.69,2.52,22.65
Stage1 (329).jpg,140.60,11.89,2.62,22.85
Stage1 (330).jpg,136.00,7.29,0.32,18.25
Stage1 (331).jpg,136.20,7.49,0.42,18.45
Stage1 (332).jpg,136.40,7.69,0.52,18.65
Stage1 (333).jpg,136.00,7.29,0.32,18.25
Stage1 (334).jpg,136.20,7.49,0.42,18.45
Stage1 (335).jpg,137.00,8.29,0.82,19.25
Stage1 (336).jpg,137.20,8.49,0.92,19.45
Stage1 (337).jpg,137.40,8.69,1.02,19.65
Stage1 (338).jpg,137.60,8.89,1.12,19.85
Stage1 (339).jpg,137.80,9.09,1.22,20.05
Stage1 (340).jpg,138.00,9.29,1.32,20.25
Stage1 (341).jpg,136.00,7.29,0.32,18.25
Stage1 (342).jpg,136.20,7.49,0.42,18.45
Stage1 (343).jpg,140.20,11.49,2.42,22.45
Stage1 (344).jpg,140.40,11.69,2.52,22.65
Stage1 (345).jpg,140.60,11.89,2.62,22.85
Stage1 (346).jpg,136.00,7.29,0.32,18.25
Stage1 (347).jpg,136.20,7.49,0.42,18.45
Stage1 (348).jpg,136.40,7.69,0.52,18.65
Stage1 (349).jpg,136.00,7.29,0.32,18.25
Stage1 (350).jpg,136.20,7.49,0.42,18.45
Stage1 (351).jpg,136.40,7.69,0.52,18.65
Stage1 (352).jpg,136.60,7.89,0.62,18.85
Stage1 (353).jpg,136.80,8.09,0.72,19.05
Stage1 (354).jpg,137.40,8.69,1.02,19.65
Stage1 (355).jpg,137.60,8.89,1.12,19.85
Stage1 (356).jpg,137.80,9.09,1.22,20.05
Stage1 (357).jpg,138.00,9.29,1.32,20.25
Stage1 (358).jpg,136.00,7.29,0.32,18.25
Stage1 (359).jpg,136.20,7.49,0.42,18.45
Stage1 (360).jpg,140.20,11.49,2.42,22.45
Stage1 (361).jpg,140.40,11.69,2.52,22.65
Stage1 (362).jpg,140.60,11.89,2.62,22.85
Stage1 (363).jpg,136.00,7.29,0.32,18.25
Stage1 (364).jpg,136.20,7.49,0.42,18.45
Stage1 (365).jpg,136.40,7.69,0.52,18.65
Stage1 (366).jpg,136.00,7.29,0.32,18.25
Stage1 (367).jpg,136.20,7.49,0.42,18.45
Stage1 (368).jpg,137.00,8.29,0.82,19.25
Stage2 (1).jpg,535.02,46.03,3.76,73.12
Stage2 (2).jpg,535.22,46.23,3.96,73.32
Stage2 (3).jpg,535.42,46.43,4.16,73.52
Stage2 (4).jpg,535.62,46.63,4.36,73.72
Stage2 (5).jpg,535.82,46.83,4.56,73.92
Stage2 (6).jpg,536.02,47.03,4.76,74.12
Stage2 (7).jpg,536.22,47.23,4.96,74.32
Stage2 (8).jpg,535.02,46.03,3.76,73.12
Stage2 (9).jpg,535.22,46.23,3.96,73.32
Stage2 (10).jpg,535.42,46.43,4.16,73.52
Stage2 (11).jpg,535.62,46.63,4.36,73.72
Stage2 (12).jpg,535.82,46.83,4.56,73.92
Stage2 (13).jpg,536.02,47.03,4.76,74.12
Stage2 (14).jpg,536.22,47.23,4.96,74.32
Stage2 (15).jpg,536.42,47.43,5.16,74.52
Stage2 (16).jpg,536.62,47.63,5.36,74.72
Stage2 (17).jpg,536.82,47.83,5.56,74.92
Stage2 (18).jpg,537.02,48.03,5.76,75.12
Stage2 (19).jpg,537.22,48.23,5.96,75.32
Stage2 (20).jpg,537.42,48.43,6.16,75.52
Stage2 (21).jpg,537.62,48.63,6.36,75.72
Stage2 (22).jpg,537.82,48.83,6.56,75.92
Stage2 (23).jpg,538.02,49.03,6.76,76.12
Stage2 (24).jpg,538.22,49.23,6.96,76.32
Stage2 (25).jpg,538.42,49.43,7.16,76.52
Stage2 (26).jpg,535.02,46.03,3.76,73.12
Stage2 (27).jpg,535.22,46.23,3.96,73.32
Stage2 (28).jpg,535.42,46.43,4.16,73.52
Stage2 (29).jpg,535.62,46.63,4.36,73.72
Stage2 (30).jpg,535.82,46.83,4.56,73.92
Stage2 (31).jpg,536.02,47.03,4.76,74.12
Stage2 (32).jpg,536.22,47.23,4.96,74.32
Stage2 (33).jpg,536.42,47.43,5.16,74.52
Stage2 (34).jpg,536.62,47.63,5.36,74.72
Stage2 (35).jpg,536.82,47.83,5.56,74.92
Stage2 (36).jpg,537.02,48.03,5.76,75.12
Stage2 (37).jpg,537.22,48.23,5.96,75.32
Stage2 (38).jpg,537.42,48.43,6.16,75.52
Stage2 (39).jpg,537.62,48.63,6.36,75.72
Stage2 (40).jpg,537.82,48.83,6.56,75.92
Stage2 (41).jpg,538.02,49.03,6.76,76.12
Stage2 (42).jpg,538.22,49.23,6.96,76.32
Stage2 (43).jpg,538.42,49.43,7.16,76.52
Stage2 (44).jpg,538.62,49.63,7.36,76.72
Stage2 (45).jpg,538.82,49.83,7.56,76.92
Stage2 (46).jpg,535.02,46.03,3.76,73.12
Stage2 (47).jpg,535.22,46.23,3.96,73.32
Stage2 (48).jpg,535.42,46.43,4.16,73.52
Stage2 (49).jpg,535.62,46.63,4.36,73.72
Stage2 (50).jpg,535.82,46.83,4.56,73.92
Stage2 (51).jpg,536.02,47.03,4.76,74.12
Stage2 (52).jpg,536.22,47.23,4.96,74.32
Stage2 (53).jpg,536.42,47.43,5.16,74.52
Stage2 (54).jpg,536.62,47.63,5.36,74.72
Stage2 (55).jpg,536.82,47.83,5.56,74.92
Stage2 (56).jpg,537.02,48.03,5.76,75.12
